 The system contains         2916  particles.
 Step; Kinetic energy; Potential energy; Total energy; Calculated temperature; Mean momentum squared; Pressure; 
          56 ;   314.16145045631464      ;  -24270.238109921494      ;  -23956.076659465180      ;   8.5837060967384424      ;   2.4630394428565084E-030 ;  0.10180523480127193      ;  0.14162939032615574     
          57 ;   312.54521277155925      ;  -24268.621979334959      ;  -23956.076766563401      ;   8.5395462889445106      ;   1.8279304918288454E-030 ;  0.10128653908901267      ;  0.14604537110554894     
          58 ;   310.90720834803795      ;  -24266.983825700645      ;  -23956.076617352606      ;   8.4947917573613321      ;   6.5476400397725466E-032 ;  0.10076079462032855      ;  0.15052082426386681     
          59 ;   309.24778625216669      ;  -24265.323870093831      ;  -23956.076083841665      ;   8.4494520393892412      ;   6.3253077412971648E-032 ;  0.10022811387924510      ;  0.15505479606107586     
          60 ;   307.56730060621896      ;  -24263.643106619860      ;  -23956.075806013640      ;   8.4035368105677186      ;   2.3081043560822691E-031 ;   9.9688611629957569E-002 ;  0.15964631894322812     
          61 ;   305.86611053643315      ;  -24261.941894406933      ;  -23956.075783870499      ;   8.3570558831575568      ;   2.0805705606999855E-030 ;   9.9142098534328107E-002 ;  0.16429441168424430     
          62 ;   304.14458010537442      ;  -24260.219957545243      ;  -23956.075377439869      ;   8.3100192042928001      ;   1.8558778752440645E-031 ;   9.8589297352519659E-002 ;  0.16899807957071999     
          63 ;   302.40307823762811      ;  -24258.477920950369      ;  -23956.074842712740      ;   8.2624368539505078      ;   1.6886796970392091E-030 ;   9.8030026745595966E-002 ;  0.17375631460494922     
          64 ;   300.64197867468226      ;  -24256.716670355076      ;  -23956.074691680395      ;   8.2143190437180138      ;   7.0700445743687685E-031 ;   9.7464407292709027E-002 ;  0.17856809562819864     
          65 ;   298.86165991542009      ;  -24254.936456259649      ;  -23956.074796344230      ;   8.1656761151670416      ;   1.1764631568242979E-031 ;   9.6892561322754131E-002 ;  0.18343238848329579     
          66 ;   297.06250514217049      ;  -24253.137149874638      ;  -23956.074644732467      ;   8.1165185378331977      ;   4.2564466827509989E-031 ;   9.6314612895838439E-002 ;  0.18834814621668028     
          67 ;   295.24490216122638      ;  -24251.318243031194      ;  -23956.073340869967      ;   8.0668569075907914      ;   1.2125771502782196E-031 ;   9.5730686837114137E-002 ;  0.19331430924092086     
          68 ;   293.40924332101304      ;  -24249.482048027963      ;  -23956.072804706950      ;   8.0167019444169672      ;   3.1249615194838926E-031 ;   9.5140909356999495E-002 ;  0.19832980555830326     
          69 ;   291.55592544307046      ;  -24247.628577695239      ;  -23956.072652252169      ;   7.9660644905059828      ;   1.0278487990844490E-030 ;   9.4545409506038028E-002 ;  0.20339355094940170     
          70 ;   289.68534975524278      ;  -24245.758105275600      ;  -23956.072755520356      ;   7.9149555084437484      ;   2.0285728959397996E-031 ;   9.3944316127474531E-002 ;  0.20850444915562516     
          71 ;   287.79792180852650      ;  -24243.869884360345      ;  -23956.071962551818      ;   7.8633860789359238      ;   7.2781401160141647E-031 ;   9.3337761118449047E-002 ;  0.21366139210640767     
          72 ;   285.89405141234369      ;  -24241.966116704745      ;  -23956.072065292403      ;   7.8113673990394012      ;   4.1804700343610373E-032 ;   9.2725875559082280E-002 ;  0.21886326009605983     
          73 ;   283.97415255002733      ;  -24240.046448322577      ;  -23956.072295772548      ;   7.7589107798531538      ;   3.7528450629650511E-031 ;   9.2108794158156676E-002 ;  0.22410892201468458     
          74 ;   282.03864329403240      ;  -24238.110657310899      ;  -23956.072014016867      ;   7.7060276442015763      ;   6.0714142328346458E-031 ;   9.1486651396858409E-002 ;  0.22939723557984237     
          75 ;   280.08794572634116      ;  -24236.160061727227      ;  -23956.072116000887      ;   7.6527295244597582      ;   1.6364410763832892E-032 ;   9.0858692921358480E-002 ;  0.23472704755402418     
          76 ;   278.12248585132812      ;  -24234.194319606908      ;  -23956.071833755581      ;   7.5990280601727189      ;   1.7416900766594696E-031 ;   9.0225929013438538E-002 ;  0.24009719398272811     
          77 ;   276.14269352428499      ;  -24232.213732817243      ;  -23956.071039292958      ;   7.5449349961025316      ;   4.7987417608049298E-031 ;   8.9589403446608998E-002 ;  0.24550650038974686     
          78 ;   274.14900236147059      ;  -24230.220142932962      ;  -23956.071140571490      ;   7.4904621797706525      ;   2.8668895488152130E-031 ;   8.8948369873325217E-002 ;  0.25095378202293472     
          79 ;   272.14184963782537      ;  -24228.212963263009      ;  -23956.071113625185      ;   7.4356215586632128      ;   3.8697506947873527E-031 ;   8.8301872360109945E-002 ;  0.25643784413367876     
          80 ;   270.12167619417926      ;  -24226.192250671931      ;  -23956.070574477752      ;   7.3804251776956962      ;   3.2945723278306721E-030 ;   8.7652233145543532E-002 ;  0.26195748223043036     
          81 ;   268.08892635638034      ;  -24224.159601451487      ;  -23956.070675095107      ;   7.3248851770033294      ;   1.6323645907146498E-030 ;   8.6998512133976372E-002 ;  0.26751148229966704     
          82 ;   266.04404782879544      ;  -24222.114823328629      ;  -23956.070775499833      ;   7.2690137890312370      ;   1.1023293843010465E-031 ;   8.6340853457354858E-002 ;  0.27309862109687633     
          83 ;   263.98749159329816      ;  -24220.057983304283      ;  -23956.070491710983      ;   7.2128233357745346      ;   4.5422068684843566E-031 ;   8.5679403860367181E-002 ;  0.27871766642254658     
          84 ;   261.91971182946526      ;  -24217.989023587026      ;  -23956.069311757561      ;   7.1563262265978853      ;   2.9471201180862832E-031 ;   8.5014309327422308E-002 ;  0.28436737734021145     
          85 ;   259.84116580241107      ;  -24215.910577372448      ;  -23956.069411570035      ;   7.0995349551708475      ;   8.7455357627134458E-031 ;   8.4345035324372139E-002 ;  0.29004650448291525     
          86 ;   257.75231375393463      ;  -24213.821824948798      ;  -23956.069511194863      ;   7.0424620964937299      ;   3.7400899215314966E-030 ;   8.3673090574898051E-002 ;  0.29575379035062699     
          87 ;   255.65361880480583      ;  -24211.722333475791      ;  -23956.068714670986      ;   6.9851203042277934      ;   1.1984222751920113E-030 ;   8.2997947294262228E-002 ;  0.30148796957722068     
          88 ;   253.54554683614748      ;  -24209.615000763697      ;  -23956.069453927550      ;   6.9275223074543089      ;   2.0101768305279279E-031 ;   8.2319755258064675E-002 ;  0.30724776925456909     
          89 ;   251.42856638498256      ;  -24207.497479445021      ;  -23956.068913060037      ;   6.8696809078206273      ;   9.7428061969240110E-031 ;   8.1638665653678527E-002 ;  0.31303190921793722     
          90 ;   249.30314855643078      ;  -24205.371776577376      ;  -23956.068628020945      ;   6.8116089771411721      ;   3.4961997070699919E-031 ;   8.0954830793862356E-002 ;  0.31883910228588275     
          91 ;   247.16976689793225      ;  -24203.237981735292      ;  -23956.068214837360      ;   6.7533194539608914      ;   1.0403984518506685E-031 ;   8.0266870678500635E-002 ;  0.32466805460391090     
          92 ;   245.02889727426214      ;  -24201.096698781141      ;  -23956.067801506877      ;   6.6948253401403459      ;   1.4064394025600935E-031 ;   7.9577990698064760E-002 ;  0.33051746598596543     
          93 ;   242.88101775862583      ;  -24198.948917790745      ;  -23956.067900032118      ;   6.6361396978801395      ;   2.5092106411590806E-031 ;   7.8886826176639752E-002 ;  0.33638603021198610     
          94 ;   240.72660850332917      ;  -24196.796270876453      ;  -23956.069662373124      ;   6.5772756461872950      ;   5.8468485557217657E-032 ;   7.8193532571370697E-002 ;  0.34227243538127050     
          95 ;   238.56615161928340      ;  -24194.635656270380      ;  -23956.069504651095      ;   6.5182463575830170      ;   6.4259484786431404E-032 ;   7.7498265784270950E-002 ;  0.34817536424169826     
          96 ;   236.40013107590403      ;  -24192.469733882259      ;  -23956.069602806354      ;   6.4590650553676721      ;   1.0622461489626829E-030 ;   7.6801181427218118E-002 ;  0.35409349446323279     
          97 ;   234.22903255388402      ;  -24190.297965428952      ;  -23956.068932875067      ;   6.3997450095981669      ;   1.1928333136754134E-030 ;   7.6102436577182811E-002 ;  0.36002549904018333     
          98 ;   232.05334333861347      ;  -24188.122758153822      ;  -23956.069414815211      ;   6.3402995341758954      ;   8.9081743050773130E-031 ;   7.5402188817075555E-002 ;  0.36597004658241050     
          99 ;   229.87355220678964      ;  -24185.941912918377      ;  -23956.068360711586      ;   6.2807419837486362      ;   2.0224148406177897E-031 ;   7.4700596145144640E-002 ;  0.37192580162513633     
         100 ;   227.69014924774982      ;  -24183.758607737644      ;  -23956.068458489895      ;   6.2210857488289015      ;   1.7416464856524979E-031 ;   7.3996864620925126E-002 ;  0.37789142511710982     
         101 ;   225.50362575234212      ;  -24181.571285976359      ;  -23956.067660224016      ;   6.1613442527575915      ;   1.1768774695314701E-030 ;   7.3293045006976185E-002 ;  0.38386557472424088     
         102 ;   223.31447410661670      ;  -24179.382103963311      ;  -23956.067629856694      ;   6.1015309487993736      ;   8.6161768076456345E-031 ;   7.2588356161226636E-002 ;  0.38984690512006259     
         103 ;   221.12318763091699      ;  -24177.190147085021      ;  -23956.066959454103      ;   6.0416593157462284      ;   1.2749669441239554E-031 ;   7.1882956725917338E-002 ;  0.39583406842537716     
         104 ;   218.93026044137255      ;  -24174.998085397667      ;  -23956.067824956295      ;   5.9817428541330822      ;   2.1185759415276184E-031 ;   7.1177006743006213E-002 ;  0.40182571458669181     
         105 ;   216.73618733567289      ;  -24172.803597789585      ;  -23956.067410453914      ;   5.9217950831168453      ;   2.1415132321847302E-031 ;   7.0470666170236285E-002 ;  0.40782049168831547     
         106 ;   214.54146364936892      ;  -24170.608459557927      ;  -23956.066995908557      ;   5.8618295365501982      ;   3.7985203475163398E-031 ;   6.9764094957596695E-002 ;  0.41381704634498018     
         107 ;   212.34658512784404      ;  -24168.413294459995      ;  -23956.066709332150      ;   5.8018597594835075      ;   8.3948466069782494E-031 ;   6.9057453464752519E-002 ;  0.41981402405164925     
         108 ;   210.15204775455675      ;  -24166.219110485588      ;  -23956.067062731032      ;   5.7418993034719703      ;   4.5457369144618125E-031 ;   6.8350900959912558E-002 ;  0.42581006965280299     
