 The system contains         2916  particles.
 Time; Kinetic energy; Potential energy; Total energy; Calculated temperature; Mean momentum squared; Pressure; 
           7    879.69237280100219        -23428.901666684404      ;  -22549.209293883403         24.035478486295911         24.000000000000000         1.2462685840975242E-030   0.28500529631742549     
           6    812.77381438065379        -23513.599424054206      ;  -22700.825609673553         22.207089812054143         22.000000000000000         5.3941268876490608E-031   0.26334735903048961     
           8    956.27969465863748        -23341.031491026250      ;  -22384.751796367611         26.128042868741261         26.000000000000000         3.0502969769155253E-030   0.30976827407187302     
           8    1029.3367831500123        -23254.993725756682      ;  -22225.656942606671         28.124152114425350         28.000000000000000         2.2016703408862602E-030   0.33340765529632205     
           8    879.80007880709525        -23429.012571549967      ;  -22549.212492742870         24.038421293886763         24.000000000000000         5.1928599536126062E-031   0.28503919960160989     
           7    812.78977945706583        -23513.617691821517      ;  -22700.827912364450         22.207526019372175         22.000000000000000         3.2971156154112964E-031   0.26335324849495989     
           9    956.48350818735696        -23341.236199670566      ;  -22384.752691483209         26.133611583255806         26.000000000000000         9.7490172549476804E-031   0.30983511381529855     
           9    1029.6256214960249        -23255.281155077024      ;  -22225.655533580997         28.132043927593514         28.000000000000000         2.8270238226945916E-030   0.33350186128231929     
           9    879.90610832472612        -23429.116040194120      ;  -22549.209931869394         24.041318295462226         24.000000000000000         3.4117188724633736E-030   0.28507436443911799     
           8    812.80354755434837        -23513.632098977552      ;  -22700.828551423205         22.207902199519079         22.000000000000000         4.8310857926256002E-031   0.26335839170886566     
          10    956.68555353558497        -23341.435684598011      ;  -22384.750131062425         26.139131986490774         26.000000000000000         6.3586393405901743E-031   0.30990134045019729     
          10    1029.9127016747086        -23255.567978133793      ;  -22225.655276459085         28.139887703067686         28.000000000000000         3.5272710135810478E-030   0.33359545590837103     
          10    880.01047878792440        -23429.219897343817      ;  -22549.209418555893         24.044169967365239         24.000000000000000         3.2191655761297266E-031   0.28510895532788283     
           9    812.81513741315814        -23513.643687453892      ;  -22700.828550040733         22.208218864538232         22.000000000000000         4.0130562953243583E-031   0.26336076068203751     
          11    956.88584200345588        -23341.634948244919      ;  -22384.749106241463         26.144604387195169         26.000000000000000         3.8516823875150225E-031   0.30996696054553491     
          11    1030.1980342267163        -23255.853821488436      ;  -22225.655787261720         28.147683728845863         28.000000000000000         1.8117316773562697E-030   0.33369094995505333     
          11    880.11320864473407        -23429.319554124220      ;  -22549.206345479488         24.046976813644221         24.000000000000000         3.7728265138991841E-031   0.28514297681438566     
          10    812.82456851683344        -23513.650301324717      ;  -22700.825732807883         22.208476546764992         22.000000000000000         8.8300593857014290E-031   0.26337131231721977     
          12    957.08438647386868        -23341.834131482945      ;  -22384.749745009078         26.150029137363212         26.000000000000000         8.4552236191005565E-031   0.31003197616877765     
